time,sleep,execute,overrun,type
1520599144869308,1890,109,0,3
1520599144869308,1890,109,0,4
1520599144871217,1891,108,0,0
1520599144871313,1891,108,0,1
1520599144871322,1891,108,0,2
1520599144871322,1891,108,0,3
1520599144871322,1891,108,0,4
1520599144873232,1893,106,0,0
1520599144873327,1893,106,0,1
1520599144873336,1893,106,0,2
1520599144873336,1893,106,0,3
1520599144873337,1893,106,0,4
1520599144875248,1894,105,0,0
1520599144875346,1894,105,0,1
1520599144875354,1894,105,0,2
1520599144875355,1894,105,0,3
1520599144875355,1894,105,0,4
1520599144877264,1892,107,0,0
1520599144877362,1892,107,0,1
1520599144877371,1892,107,0,2
1520599144877371,1892,107,0,3
1520599144877372,1892,107,0,4
1520599144879280,1891,108,0,0
1520599144879376,1891,108,0,1
1520599144879385,1891,108,0,2
1520599144879385,1891,108,0,3
1520599144879385,1891,108,0,4
1520599144881295,1894,105,0,0
1520599144881393,1894,105,0,1
1520599144881401,1894,105,0,2
1520599144881402,1894,105,0,3
1520599144881402,1894,105,0,4
1520599144883312,1892,107,0,0
1520599144883411,1892,107,0,1
1520599144883419,1892,107,0,2
1520599144883420,1892,107,0,3
1520599144883420,1892,107,0,4
1520599144885327,1891,108,0,0
1520599144885426,1891,108,0,1
1520599144885435,1891,108,0,2
1520599144885435,1891,108,0,3
1520599144885436,1891,108,0,4
1520599144887343,1890,109,0,0
1520599144887440,1890,109,0,1
1520599144887448,1890,109,0,2
1520599144887449,1890,109,0,3
1520599144887449,1890,109,0,4
1520599144889358,1893,106,0,0
1520599144889456,1893,106,0,1
1520599144889464,1893,106,0,2
1520599144889465,1893,106,0,3
1520599144889465,1893,106,0,4
1520599144891375,1893,106,0,0
1520599144891482,1893,106,0,1
1520599144891490,1893,106,0,2
1520599144891491,1893,106,0,3
1520599144891491,1893,106,0,4
1520599144893390,1883,116,0,0
1520599144893485,1883,116,0,1
1520599144893493,1883,116,0,2
1520599144893494,1883,116,0,3
1520599144893494,1883,116,0,4
1520599144895406,1895,104,0,0
1520599144895501,1895,104,0,1
1520599144895509,1895,104,0,2
1520599144895510,1895,104,0,3
1520599144895510,1895,104,0,4
1520599144897421,1895,104,0,0
1520599144897518,1895,104,0,1
1520599144897527,1895,104,0,2
1520599144897527,1895,104,0,3
1520599144897528,1895,104,0,4
1520599144899438,1893,106,0,0
1520599144899533,1893,106,0,1
1520599144899541,1893,106,0,2
1520599144899541,1893,106,0,3
1520599144899542,1893,106,0,4
1520599144901453,1895,104,0,0
1520599144901550,1895,104,0,1
1520599144901559,1895,104,0,2
1520599144901560,1895,104,0,3
1520599144901560,1895,104,0,4
1520599144903470,1892,107,0,0
1520599144903567,1892,107,0,1
1520599144903575,1892,107,0,2
1520599144903576,1892,107,0,3
1520599144903576,1892,107,0,4
1520599144905485,1893,106,0,0
1520599144905580,1893,106,0,1
1520599144905589,1893,106,0,2
1520599144905589,1893,106,0,3
1520599144905590,1893,106,0,4
1520599144907501,1894,105,0,0
1520599144907598,1894,105,0,1
1520599144907606,1894,105,0,2
1520599144907607,1894,105,0,3
1520599144907607,1894,105,0,4
1520599144909516,1893,106,0,0
1520599144909614,1893,106,0,1
1520599144909623,1893,106,0,2
1520599144909623,1893,106,0,3
1520599144909624,1893,106,0,4
1520599144911532,1891,108,0,0
1520599144911628,1891,108,0,1
1520599144911637,1891,108,0,2
1520599144911637,1891,108,0,3
1520599144911638,1891,108,0,4
1520599144913547,1893,106,0,0
1520599144913645,1893,106,0,1
1520599144913665,1893,106,0,2
1520599144913665,1893,106,0,3
1520599144913666,1893,106,0,4
1520599144915564,1881,118,0,0
1520599144915660,1881,118,0,1
1520599144915669,1881,118,0,2
1520599144915669,1881,118,0,3
1520599144915670,1881,118,0,4
1520599144917580,1894,105,0,0
1520599144917679,1894,105,0,1
1520599144917687,1894,105,0,2
1520599144917688,1894,105,0,3
1520599144917688,1894,105,0,4
1520599144919596,1891,108,0,0
1520599144919691,1891,108,0,1
1520599144919699,1891,108,0,2
1520599144919700,1891,108,0,3
1520599144919700,1891,108,0,4
1520599144921612,1895,104,0,0
1520599144921708,1895,104,0,1
1520599144921716,1895,104,0,2
1520599144921717,1895,104,0,3
1520599144921717,1895,104,0,4
1520599144923628,1894,105,0,0
1520599144923724,1894,105,0,1
1520599144923733,1894,105,0,2
1520599144923733,1894,105,0,3
1520599144923734,1894,105,0,4
1520599144925644,1894,105,0,0
1520599144925739,1894,105,0,1
1520599144925747,1894,105,0,2
1520599144925748,1894,105,0,3
1520599144925748,1894,105,0,4
1520599144927660,1895,104,0,0
1520599144927755,1895,104,0,1
1520599144927763,1895,104,0,2
1520599144927764,1895,104,0,3
1520599144927764,1895,104,0,4
1520599144929675,1895,104,0,0
1520599144929772,1895,104,0,1
1520599144929781,1895,104,0,2
1520599144929781,1895,104,0,3
1520599144929782,1895,104,0,4
1520599144931691,1893,107,0,0
1520599144931786,1893,107,0,1
1520599144931794,1893,107,0,2
1520599144931795,1893,107,0,3
1520599144931795,1893,107,0,4
1520599144933707,1896,103,0,0
1520599144933802,1896,103,0,1
1520599144933810,1896,103,0,2
1520599144933811,1896,103,0,3
1520599144933811,1896,103,0,4
1520599144935723,1895,104,0,0
1520599144935819,1895,104,0,1
1520599144935827,1895,104,0,2
1520599144935827,1895,104,0,3
1520599144935828,1895,104,0,4
1520599144937739,1895,104,0,0
1520599144937835,1895,104,0,1
1520599144937843,1895,104,0,2
1520599144937844,1895,104,0,3
1520599144937844,1895,104,0,4
1520599144939755,1893,106,0,0
1520599144939849,1893,106,0,1
1520599144939857,1893,106,0,2
1520599144939858,1893,106,0,3
1520599144939858,1893,106,0,4
1520599144941770,1896,103,0,0
1520599144941865,1896,103,0,1
1520599144941874,1896,103,0,2
1520599144941874,1896,103,0,3
1520599144941875,1896,103,0,4
1520599144943786,1894,105,0,0
1520599144943884,1894,105,0,1
1520599144943892,1894,105,0,2
1520599144943893,1894,105,0,3
1520599144943893,1894,105,0,4
1520599144945802,1892,107,0,0
1520599144945897,1892,107,0,1
1520599144945906,1892,107,0,2
1520599144945906,1892,107,0,3
1520599144945907,1892,107,0,4
1520599144947818,1894,105,0,0
1520599144947912,1894,105,0,1
1520599144947921,1894,105,0,2
1520599144947921,1894,105,0,3
1520599144947922,1894,105,0,4
1520599144949833,1895,104,0,0
1520599144949929,1895,104,0,1
1520599144949938,1895,104,0,2
1520599144949938,1895,104,0,3
1520599144949939,1895,104,0,4
1520599144951849,1893,106,0,0
1520599144951943,1893,106,0,1
1520599144951952,1893,106,0,2
1520599144951952,1893,106,0,3
1520599144951952,1893,106,0,4
1520599144953864,1896,103,0,0
1520599144953961,1896,103,0,1
1520599144953970,1896,103,0,2
1520599144953970,1896,103,0,3
1520599144953970,1896,103,0,4
1520599144955881,1893,106,0,0
1520599144955974,1893,106,0,1
1520599144955983,1893,106,0,2
1520599144955983,1893,106,0,3
1520599144955984,1893,106,0,4
1520599144957896,1896,103,0,0
1520599144957990,1896,103,0,1
1520599144957998,1896,103,0,2
1520599144957999,1896,103,0,3
1520599144957999,1896,103,0,4
1520599144959912,1896,103,0,0
1520599144960009,1896,103,0,1
1520599144960018,1896,103,0,2
1520599144960018,1896,103,0,3
1520599144960018,1896,103,0,4
1520599144961927,1893,106,0,0
1520599144962024,1893,106,0,1
1520599144962033,1893,106,0,2
1520599144962033,1893,106,0,3
1520599144962034,1893,106,0,4
1520599144963944,1893,106,0,0
1520599144964040,1893,106,0,1
1520599144964048,1893,106,0,2
1520599144964049,1893,106,0,3
1520599144964049,1893,106,0,4
1520599144965960,1883,116,0,0
1520599144966057,1883,116,0,1
1520599144966066,1883,116,0,2
1520599144966066,1883,116,0,3
1520599144966067,1883,116,0,4
1520599144967977,1892,107,0,0
1520599144968071,1892,107,0,1
1520599144968080,1892,107,0,2
1520599144968080,1892,107,0,3
1520599144968080,1892,107,0,4
1520599144969992,1895,104,0,0
1520599144970087,1895,104,0,1
1520599144970095,1895,104,0,2
1520599144970095,1895,104,0,3
1520599144970096,1895,104,0,4
1520599144972009,1895,104,0,0
1520599144972103,1895,104,0,1
1520599144972111,1895,104,0,2
1520599144972112,1895,104,0,3
1520599144972112,1895,104,0,4
1520599144974024,1896,103,0,0
1520599144974119,1896,103,0,1
1520599144974127,1896,103,0,2
1520599144974128,1896,103,0,3
1520599144974128,1896,103,0,4
1520599144976040,1895,104,0,0
1520599144976133,1895,104,0,1
1520599144976142,1895,104,0,2
1520599144976142,1895,104,0,3
1520599144976143,1895,104,0,4
1520599144978055,1897,102,0,0
1520599144978152,1897,102,0,1
1520599144978161,1897,102,0,2
1520599144978161,1897,102,0,3
1520599144978161,1897,102,0,4
1520599144980072,1893,106,0,0
1520599144980167,1893,106,0,1
1520599144980176,1893,106,0,2
1520599144980176,1893,106,0,3
1520599144980177,1893,106,0,4
1520599144982087,1894,105,0,0
1520599144982184,1894,105,0,1
1520599144982192,1894,105,0,2
1520599144982193,1894,105,0,3
1520599144982193,1894,105,0,4
1520599144984103,1893,106,0,0
1520599144984200,1893,106,0,1
1520599144984208,1893,106,0,2
1520599144984209,1893,106,0,3
1520599144984209,1893,106,0,4
1520599144986118,1894,105,0,0
1520599144986214,1894,105,0,1
1520599144986222,1894,105,0,2
1520599144986222,1894,105,0,3
1520599144986223,1894,105,0,4
1520599144988135,1895,104,0,0
1520599144988231,1895,104,0,1
1520599144988239,1895,104,0,2
1520599144988240,1895,104,0,3
1520599144988240,1895,104,0,4
1520599144990150,1894,105,0,0
1520599144990247,1894,105,0,1
1520599144990255,1894,105,0,2
1520599144990256,1894,105,0,3
1520599144990256,1894,105,0,4
1520599144992166,1893,106,0,0
1520599144992261,1893,106,0,1
1520599144992270,1893,106,0,2
1520599144992270,1893,106,0,3
1520599144992270,1893,106,0,4
1520599144994181,1895,104,0,0
