time,last,diff,position,thrust,set,loop,update
1520599542657416,0,1520599542657416,0.002722989365077228,24.67857388848699,10.0,214,false
1520599542658433,0,1520599542658433,0.0030332326946491232,24.659073704001482,10.0,215,false
1520599542659449,0,1520599542659449,0.003358486072747412,24.640536163374296,10.0,216,false
1520599542660467,0,1520599542660467,0.0036996858739442792,24.62161076354305,10.0,217,false
1520599542661483,0,1520599542661483,0.004055862085034086,24.60303473359295,10.0,218,false
1520599542662500,0,1520599542662500,0.004427213277118551,24.58324833524722,10.0,219,false
1520599542663517,0,1520599542663517,0.004813927610102102,24.56463697676633,10.0,220,false
1520599542664534,0,1520599542664534,0.005216196213234133,24.54573942982172,10.0,221,false
1520599542665552,0,1520599542665552,0.0056339563394975705,24.52656823647163,10.0,222,false
1520599542666569,0,1520599542666569,0.006066186178119137,24.507119205659887,10.0,223,false
1520599542667587,0,1520599542667587,0.006514431913441059,24.487709838034895,10.0,224,false
1520599542668605,0,1520599542668605,0.0069774612328457756,24.469541516372125,10.0,225,false
1520599542669624,0,1520599542669624,0.007456677002934494,24.449400379713996,10.0,226,false
1520599542670640,0,1520599542670640,0.0079491293065632,24.43076262856544,10.0,227,false
1520599542671658,0,1520599542671658,0.008458175860171975,24.410330780118887,10.0,228,false
1520599542672675,0,1520599542672675,0.008981275406490932,24.393553187521444,10.0,229,false
1520599542673693,0,1520599542673693,0.009520079421420222,24.37253691284551,10.0,230,false
1520599542674710,0,1520599542674710,0.010073535635088391,24.354662024963616,10.0,231,false
1520599542675728,0,1520599542675728,0.010642822927984595,24.33468347715475,10.0,232,false
1520599542676745,0,1520599542676745,0.011225990425588488,24.31598358084469,10.0,233,false
1520599542677763,0,1520599542677763,0.011825330977759554,24.295770449295183,10.0,234,false
1520599542678781,0,1520599542678781,0.012439003887442941,24.27796115206679,10.0,235,false
1520599542679798,0,1520599542679798,0.01306745383627405,24.257245299944902,10.0,236,false
1520599542680815,0,1520599542680815,0.013710830675857535,24.238794426877632,10.0,237,false
1520599542681833,0,1520599542681833,0.014370094358726323,24.21975069632755,10.0,238,false
1520599542682849,0,1520599542682849,0.01504229640599205,24.20048226970678,10.0,239,false
1520599542683866,0,1520599542683866,0.015730600319378292,24.179974119380148,10.0,240,false
1520599542684884,0,1520599542684884,0.016433803070260076,24.16311915453751,10.0,241,false
1520599542685902,0,1520599542685902,0.017151845188488404,24.142269489044573,10.0,242,false
1520599542686919,0,1520599542686919,0.017884461920036798,24.12288629191574,10.0,243,false
1520599542687937,0,1520599542687937,0.01863225637829984,24.103540262253667,10.0,244,false
1520599542688964,0,1520599542688964,0.01940241891389869,24.084488665327775,10.0,245,false
1520599542689971,0,1520599542689971,0.02017183579134335,24.064645157563287,10.0,246,false
1520599542690989,0,1520599542690989,0.02096351135773373,24.03575771431334,10.0,247,false
1520599542692005,0,1520599542692005,0.021769473430251852,24.035764227628512,10.0,248,false
1520599542693023,0,1520599542693023,0.022591099397712124,24.006959581179725,10.0,249,false
1520599542694041,0,1520599542694041,0.023426920313838397,23.988084366389554,10.0,250,false
1520599542695058,0,1520599542695058,0.024277596776836018,23.96744817368567,10.0,251,false
1520599542696075,0,1520599542696075,0.025142575697860787,23.948612592869367,10.0,252,false
1520599542697093,0,1520599542697093,0.02602268322908504,23.92891404036362,10.0,253,false
1520599542698109,0,1520599542698109,0.02691562456703557,23.909871006267757,10.0,254,false
1520599542699127,0,1520599542699127,0.02782517705773282,23.889757372424526,10.0,255,false
1520599542700159,0,1520599542700159,0.028762694682707972,23.87248006910885,10.0,256,false
1520599542701161,0,1520599542701161,0.029686272458558743,23.85043946443109,10.0,257,false
1520599542702177,0,1520599542702177,0.03063778649291585,23.81413637624995,10.0,258,false
1520599542703195,0,1520599542703195,0.03160497924972438,23.830249274590177,10.0,259,false
1520599542704212,0,1520599542704212,0.03258657784575769,23.79394710259251,10.0,260,false
1520599542705230,0,1520599542705230,0.03358257718498403,23.772927557137695,10.0,261,false
1520599542706247,0,1520599542706247,0.03459259919746617,23.753463002960153,10.0,262,false
1520599542707264,0,1520599542707264,0.0356167023957102,23.733968717362522,10.0,263,false
1520599542708281,0,1520599542708281,0.03665569670038206,23.714911861499857,10.0,264,false
1520599542709297,0,1520599542709297,0.03770812549567229,23.69574655963336,10.0,265,false
1520599542710314,0,1520599542710314,0.03877528866999563,23.67553152526709,10.0,266,false
1520599542711332,0,1520599542711332,0.039858104021452775,23.65710356919302,10.0,267,false
1520599542712349,0,1520599542712349,0.04095445767098031,23.6370138099378,10.0,268,false
1520599542713366,0,1520599542713366,0.0420645647530761,23.615737564330207,10.0,269,false
1520599542714383,0,1520599542714383,0.043189110285423896,23.597069712175145,10.0,270,false
1520599542715400,0,1520599542715400,0.04432806235032401,23.578098447300185,10.0,271,false
1520599542716417,0,1520599542716417,0.04548136188923921,23.55823470174515,10.0,272,false
1520599542717434,0,1520599542717434,0.04664933917287086,23.53837472308469,10.0,273,false
1520599542718451,0,1520599542718451,0.04783029305578282,23.51855258358348,10.0,274,false
1520599542719469,0,1520599542719469,0.04902695364631943,23.49828079454371,10.0,275,false
1520599542720486,0,1520599542720486,0.0502371316727481,23.480102877707665,10.0,276,false
1520599542721503,0,1520599542721503,0.05146035269727856,23.4584729390067,10.0,277,false
1520599542722519,0,1520599542722519,0.052698224732734014,23.439545675359746,10.0,278,false
1520599542723537,0,1520599542723537,0.053950355847294934,23.42117872913786,10.0,279,false
1520599542724554,0,1520599542724554,0.05521750020087941,23.400765015570062,10.0,280,false
1520599542725572,0,1520599542725572,0.05649886810979707,23.380805443864585,10.0,281,false
1520599542726589,0,1520599542726589,0.057792942058215384,23.359865512453407,10.0,282,false
1520599542727606,0,1520599542727606,0.059101127664296246,23.33987699862627,10.0,283,false
1520599542728624,0,1520599542728624,0.060424235107373325,23.321753485085342,10.0,284,false
1520599542729641,0,1520599542729641,0.06176006443753169,23.301837538878804,10.0,285,false
1520599542730658,0,1520599542730658,0.06311076283914858,23.28087143160451,10.0,286,false
1520599542731675,0,1520599542731675,0.06447440823365343,23.262623323418488,10.0,287,false
1520599542732692,0,1520599542732692,0.06585295417722672,23.241653927017218,10.0,288,false
1520599542733710,0,1520599542733710,0.06724638278975588,23.223054624978456,10.0,289,false
1520599542734726,0,1520599542734726,0.06865041393807916,23.20197598848862,10.0,290,false
