time,clock,sleep,execute,overrun,type
1520599537408768,1000,886,113,0,3
1520599537408769,1000,886,113,0,4
1520599537409672,1000,887,112,0,0
1520599537409758,1000,887,112,0,1
1520599537409769,1000,887,112,0,2
1520599537409784,1000,887,112,0,3
1520599537409785,1000,887,112,0,4
1520599537410688,1000,886,113,0,0
1520599537410774,1000,886,113,0,1
1520599537410785,1000,886,113,0,2
1520599537410800,1000,886,113,0,3
1520599537410800,1000,886,113,0,4
1520599537411704,1000,887,112,0,0
1520599537411789,1000,887,112,0,1
1520599537411800,1000,887,112,0,2
1520599537411814,1000,887,112,0,3
1520599537411815,1000,887,112,0,4
1520599537412720,1000,888,111,0,0
1520599537412806,1000,888,111,0,1
1520599537412816,1000,888,111,0,2
1520599537412831,1000,888,111,0,3
1520599537412831,1000,888,111,0,4
1520599537413734,1000,887,112,0,0
1520599537413821,1000,887,112,0,1
1520599537413831,1000,887,112,0,2
1520599537413846,1000,887,112,0,3
1520599537413847,1000,887,112,0,4
1520599537414750,1000,887,112,0,0
1520599537414836,1000,887,112,0,1
1520599537414847,1000,887,112,0,2
1520599537414862,1000,887,112,0,3
1520599537414862,1000,887,112,0,4
1520599537415766,1000,887,112,0,0
1520599537415852,1000,887,112,0,1
1520599537415862,1000,887,112,0,2
1520599537415877,1000,887,112,0,3
1520599537415878,1000,887,112,0,4
1520599537416782,1000,888,111,0,0
1520599537416868,1000,888,111,0,1
1520599537416878,1000,888,111,0,2
1520599537416893,1000,888,111,0,3
1520599537416894,1000,888,111,0,4
1520599537417797,1000,888,111,0,0
1520599537417884,1000,888,111,0,1
1520599537417894,1000,888,111,0,2
1520599537417909,1000,888,111,0,3
1520599537417910,1000,888,111,0,4
1520599537418813,1000,887,112,0,0
1520599537418899,1000,887,112,0,1
1520599537418909,1000,887,112,0,2
1520599537418924,1000,887,112,0,3
1520599537418925,1000,887,112,0,4
1520599537419829,1000,888,111,0,0
1520599537419914,1000,888,111,0,1
1520599537419925,1000,888,111,0,2
1520599537419940,1000,888,111,0,3
1520599537419941,1000,888,111,0,4
1520599537420845,1000,887,112,0,0
1520599537420940,1000,887,112,0,1
1520599537420951,1000,887,112,0,2
1520599537420965,1000,887,112,0,3
1520599537420966,1000,887,112,0,4
1520599537421861,1000,878,121,0,0
