i,time,sleep,duration,overruns
554,1711893197021748,9989,10,0
555,1711893197031752,9989,10,0
556,1711893197041756,9989,10,0
557,1711893197051760,9989,10,0
558,1711893197061768,9989,10,0
559,1711893197071772,9984,15,0
560,1711893197081777,9989,10,0
561,1711893197091782,9989,10,0
562,1711893197101785,9989,10,0
563,1711893197111789,9989,10,0
564,1711893197121793,9990,10,0
565,1711893197131796,9989,10,0
566,1711893197141800,9989,10,0
567,1711893197151803,9989,10,0
568,1711893197161807,9989,10,0
569,1711893197171810,9989,10,0
570,1711893197181815,9989,10,0
571,1711893197191819,9989,10,0
572,1711893197201823,9989,10,0
573,1711893197211826,9989,10,0
574,1711893197221830,9989,10,0
575,1711893197231834,9989,10,0
576,1711893197241838,9989,10,0
577,1711893197251841,9989,10,0
578,1711893197261845,9989,10,0
579,1711893197271848,9989,10,0
580,1711893197281853,9989,10,0
581,1711893197291857,9989,10,0
582,1711893197301860,9989,10,0
583,1711893197311864,9989,10,0
584,1711893197321868,9989,10,0
585,1711893197331871,9989,10,0
586,1711893197341877,9989,10,0
587,1711893197351883,9987,12,0
588,1711893197361887,9988,11,0
589,1711893197371891,9989,10,0
590,1711893197381896,9989,10,0
591,1711893197391900,9990,9,0
592,1711893197401903,9989,10,0
593,1711893197411907,9989,10,0
594,1711893197421911,9989,10,0
595,1711893197431914,9989,10,0
596,1711893197441918,9989,10,0
597,1711893197451922,9989,10,0
598,1711893197461925,9989,10,0
599,1711893197471929,9989,10,0
600,1711893197481934,9989,10,0
601,1711893197491937,9989,10,0
602,1711893197501941,9989,10,0
603,1711893197511945,9989,10,0
604,1711893197521949,9989,10,0
605,1711893197531953,9989,10,0
606,1711893197541956,9989,10,0
607,1711893197551960,9989,10,0
608,1711893197561964,9989,10,0
609,1711893197571968,9989,10,0
610,1711893197581973,9989,10,0
611,1711893197591977,9989,10,0
612,1711893197601980,9989,10,0
613,1711893197611984,9989,10,0
614,1711893197621988,9989,10,0
615,1711893197631992,9989,10,0
616,1711893197641996,9989,10,0
617,1711893197651999,9989,10,0
618,1711893197662003,9989,10,0
619,1711893197672007,9989,10,0
620,1711893197682012,9989,10,0
621,1711893197692016,9989,10,0
622,1711893197702020,9989,10,0
623,1711893197712024,9989,10,0
624,1711893197722027,9989,10,0
625,1711893197732031,9989,10,0
626,1711893197742035,9989,10,0
627,1711893197752039,9989,10,0
628,1711893197762043,9989,10,0
629,1711893197772047,9989,10,0
630,1711893197782051,9989,10,0
631,1711893197792056,9989,10,0
632,1711893197802059,9989,10,0
633,1711893197812064,9989,10,0
634,1711893197822067,9989,10,0
635,1711893197832071,9989,10,0
636,1711893197842075,9989,10,0
637,1711893197852079,9989,10,0
638,1711893197862082,9989,10,0
639,1711893197872086,9989,10,0
640,1711893197882091,9989,10,0
