index,time
7820,1712169386633022
7821,1712169386634026
7822,1712169386635029
7823,1712169386636032
7824,1712169386637035
7825,1712169386638038
7826,1712169386639042
7827,1712169386640045
7828,1712169386641048
7829,1712169386642051
7830,1712169386643055
7831,1712169386644058
7832,1712169386645061
7833,1712169386646064
7834,1712169386647068
7835,1712169386648071
7836,1712169386649074
7837,1712169386650077
7838,1712169386651080
7839,1712169386652083
7840,1712169386653086
7841,1712169386654089
7842,1712169386655093
7843,1712169386656096
7844,1712169386657099
7845,1712169386658102
7846,1712169386659106
7847,1712169386660108
7848,1712169386661112
7849,1712169386662115
7850,1712169386663118
7851,1712169386664121
7852,1712169386665124
7853,1712169386666127
7854,1712169386667131
7855,1712169386668134
7856,1712169386669137
7857,1712169386670140
7858,1712169386671143
7859,1712169386672146
7860,1712169386673149
7861,1712169386674152
7862,1712169386675156
7863,1712169386676159
7864,1712169386677162
7865,1712169386678165
7866,1712169386679168
7867,1712169386680171
7868,1712169386681174
7869,1712169386682178
7870,1712169386683181
7871,1712169386684184
7872,1712169386685186
7873,1712169386686189
7874,1712169386687193
7875,1712169386688196
7876,1712169386689200
7877,1712169386690203
7878,1712169386691207
7879,1712169386692210
7880,1712169386693213
7881,1712169386694217
7882,1712169386695220
7883,1712169386696223
7884,1712169386697227
7885,1712169386698230
7886,1712169386699234
7887,1712169386700237
7888,1712169386701240
7889,1712169386702243
7890,1712169386703247
7891,1712169386704250
7892,1712169386705254
7893,1712169386706257
7894,1712169386707261
7895,1712169386708264
7896,1712169386709267
7897,1712169386710270
7898,1712169386711274
7899,1712169386712277
7900,1712169386713282
7901,1712169386714285
7902,1712169386715289
7903,1712169386716292
7904,1712169386717295
7905,1712169386718299
7906,1712169386719302
7907,1712169386720306
7908,1712169386721309
7909,1712169386722312
7910,1712169386723316
7911,1712169386724319
7912,1712169386725323
7913,1712169386726326
7914,1712169386727329
7915,1712169386728333
7916,1712169386729336
7917,1712169386730339
7918,1712169386731343
7919,1712169386732346
7920,1712169386733349
7921,1712169386734353
7922,1712169386735356
7923,1712169386736359
7924,1712169386737363
7925,1712169386738366
7926,1712169386739370
7927,1712169386740373
7928,1712169386741376
7929,1712169386742379
7930,1712169386743383
7931,1712169386744386
7932,1712169386745389
7933,1712169386746393
7934,1712169386747396
7935,1712169386748399
7936,1712169386749403
